,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2020-04-25,4,2020-04-25,14.979999999999999,20.126666666666665,67.66666666666667,908.4866666666666,118.0,2.7866666666666666,340.6666666666667,396.53333333333336,143.6
2020-04-26,4,2020-04-26,13.04,18.553333333333335,76.73333333333333,909.2933333333333,164.26666666666668,3.893333333333333,0.6,193.46666666666667,193.06666666666666
2020-04-27,4,2020-04-27,11.020000000000001,13.46,67.26666666666667,908.6333333333333,247.33333333333334,4.6,112.33333333333333,282.1333333333333,208.33333333333334
2020-04-28,4,2020-04-28,9.513333333333332,10.44,66.26666666666667,912.1866666666666,251.46666666666667,3.953333333333333,355.46666666666664,389.6,181.73333333333332
2020-04-29,4,2020-04-29,9.9,16.74,75.06666666666666,912.4666666666667,217.93333333333334,8.833333333333334,0.7333333333333333,144.66666666666666,144.2
2020-04-30,4,2020-04-30,10.471428571428572,15.75,71.0,912.6857142857143,233.78571428571428,5.771428571428571,0.0,134.78571428571428,134.78571428571428
2020-05-01,5,2020-05-01,13.7,21.66,82.53333333333333,915.8266666666666,234.86666666666667,6.6866666666666665,150.93333333333334,294.53333333333336,196.46666666666667
2020-05-02,5,2020-05-02,16.44,14.04,66.0,918.2733333333333,256.8,2.7800000000000002,292.8,422.06666666666666,221.2
2020-05-03,5,2020-05-03,18.040000000000003,12.086666666666668,57.13333333333333,916.6333333333333,148.73333333333332,2.48,652.3333333333334,519.4,74.73333333333333
2020-05-04,5,2020-05-04,18.66,18.766666666666666,54.46666666666667,909.9266666666666,178.26666666666668,7.0600000000000005,144.6,240.73333333333332,173.73333333333332
2020-05-05,5,2020-05-05,14.26,12.673333333333334,60.0,914.5933333333334,202.26666666666668,4.533333333333333,294.46666666666664,408.8666666666667,236.33333333333334
2020-05-06,5,2020-05-06,15.9,13.766666666666667,54.86666666666667,917.42,162.86666666666667,2.2733333333333334,656.9333333333333,518.2,89.93333333333334
2020-05-07,5,2020-05-07,18.98,17.706666666666667,54.93333333333333,914.5533333333333,121.66666666666667,3.7,487.46666666666664,459.2,111.2
2020-05-08,5,2020-05-08,16.606666666666666,21.52,74.13333333333334,912.8533333333332,174.4,3.2199999999999998,269.06666666666666,345.2,160.86666666666667
2020-05-09,5,2020-05-09,15.34,15.693333333333333,62.46666666666667,908.1800000000001,197.26666666666668,5.166666666666667,176.13333333333333,354.1333333333333,252.93333333333334
2020-05-10,5,2020-05-10,12.046666666666665,16.766666666666666,74.06666666666666,905.3333333333334,256.8,1.74,3.4,197.4,195.6
